                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                 1.2389,                 3.4541,                0.73916,                0.93714,                0.67048,                0.36256,                0.46781,                0.27752,                0.23594,                0.14793,                0.07593,                 0.0295,                 1.3276,                 3.8534,                0.95511,                0.96135,               0.006238,               0.006238,               0.006238
                     40,                 1.2135,                 3.4795,                0.73289,                0.92568,                0.60713,                0.30769,                0.36864,                0.22073,                0.28596,                0.14847,                0.08013,                0.03073,                  1.348,                 4.5049,                 1.2993,                 0.9721,               0.006139,               0.006139,               0.006139
                     41,                 1.2079,                 3.4133,                0.71581,                0.93157,                0.68888,                0.37171,                0.47036,                 0.2777,                0.26856,                 0.1404,                0.07282,                0.02838,                 1.3053,                 3.8716,                 0.8884,                0.95492,                0.00604,                0.00604,                0.00604
                     42,                 1.2168,                 3.4781,                0.71648,                0.93022,                0.68825,                0.39268,                0.49293,                0.28877,                0.25074,                0.15761,                0.08776,                0.03301,                  1.303,                 3.8197,                0.86006,                0.95683,               0.005941,               0.005941,               0.005941
                     43,                 1.1927,                 3.3899,                0.71702,                0.92165,                0.72512,                0.39308,                0.49557,                0.29627,                0.24671,                0.13287,                0.06737,                0.02472,                 1.2841,                 3.7092,                0.77851,                0.95218,               0.005842,               0.005842,               0.005842
                     44,                 1.1971,                 3.4275,                0.70164,                0.92547,                0.70784,                0.41313,                0.51357,                0.30108,                0.26164,                0.16998,                0.08907,                0.03279,                 1.2919,                 3.7201,                0.79907,                0.95466,               0.005743,               0.005743,               0.005743
                     45,                 1.2068,                 3.3838,                0.70147,                0.92944,                 0.7701,                 0.3986,                0.50376,                0.30488,                0.22413,                0.14094,                 0.0654,                0.02661,                 1.2425,                 3.5982,                0.75056,                0.93881,               0.005644,               0.005644,               0.005644
                     46,                 1.1841,                 3.4367,                0.69164,                0.91929,                 0.7508,                0.40237,                0.49882,                0.29876,                0.26796,                0.15331,                0.07286,                0.02926,                 1.2619,                 3.6156,                0.72187,                0.94586,               0.005545,               0.005545,               0.005545
                     47,                 1.1729,                 3.4213,                0.68422,                0.92184,                0.79004,                0.39914,                0.51543,                0.31328,                0.20525,                0.12211,                0.05526,                0.02139,                 1.2467,                 3.6417,                0.70848,                 0.9406,               0.005446,               0.005446,               0.005446
                     48,                 1.1738,                 3.3893,                0.68167,                0.92193,                0.70725,                0.43088,                0.51902,                0.31498,                0.23764,                0.15008,                0.07549,                0.02927,                 1.2407,                 3.5438,                0.73677,                0.93339,               0.005347,               0.005347,               0.005347
                     49,                 1.1558,                 3.3563,                0.66632,                0.91327,                0.80615,                0.38924,                0.51066,                 0.3127,                0.21031,                 0.1248,                0.06496,                0.02626,                 1.2424,                 3.5711,                0.72106,                0.93497,               0.005248,               0.005248,               0.005248
                     50,                 1.1619,                 3.3386,                0.66302,                0.91112,                0.77703,                0.40183,                 0.4958,                0.30151,                0.26326,                0.14632,                0.07336,                0.02865,                 1.2431,                 3.5501,                0.70698,                0.93738,               0.005149,               0.005149,               0.005149
                     51,                 1.1594,                 3.3599,                0.66301,                0.91459,                0.74091,                0.40452,                0.49597,                0.29899,                0.23707,                0.13825,                0.06275,                0.02383,                 1.2566,                 3.6772,                 0.7233,                0.94693,                0.00505,                0.00505,                0.00505
                     52,                 1.1601,                 3.3456,                 0.6609,                0.91436,                0.72598,                 0.3674,                0.47258,                0.28962,                0.24874,                0.12641,                0.07036,                0.02731,                 1.2673,                 3.6767,                0.93044,                0.94285,               0.004951,               0.004951,               0.004951
