                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.6546,                 2.1313,                 1.3542,                 1.0013,                0.63647,                0.59877,                0.59299,                0.30191,                0.60194,                0.52527,                0.49049,                0.20464,                 1.5131,                 2.3701,                 1.1476,                0.94914,             6.8003e-05,             6.8003e-05,             6.8003e-05
                     34,                 1.6397,                 2.1375,                 1.3236,                0.99182,                0.65431,                 0.6029,                0.60766,                0.31187,                 0.6153,                0.53599,                0.50887,                0.21045,                 1.5031,                  2.339,                 1.1367,                0.94791,             6.7003e-05,             6.7003e-05,             6.7003e-05
                     35,                 1.6044,                 2.0789,                  1.285,                0.99035,                0.64451,                 0.6049,                0.60246,                0.30347,                0.58671,                0.54058,                0.50536,                0.20402,                 1.5225,                 2.3316,                 1.1318,                0.94841,             6.6003e-05,             6.6003e-05,             6.6003e-05
                     36,                 1.6212,                 2.0957,                 1.3175,                0.98757,                0.62946,                0.60354,                0.59794,                0.30473,                0.57939,                0.53159,                0.49232,                0.20347,                 1.5103,                 2.3356,                 1.1439,                0.94798,             6.5004e-05,             6.5004e-05,             6.5004e-05
                     37,                 1.6141,                 2.1177,                 1.2971,                0.98777,                0.65685,                 0.6049,                0.60959,                0.31058,                0.59366,                0.54671,                0.50371,                0.20297,                  1.504,                 2.3271,                  1.128,                0.94379,             6.4004e-05,             6.4004e-05,             6.4004e-05
                     38,                 1.6173,                 2.0945,                 1.3063,                0.99116,                0.65476,                 0.6049,                 0.6094,                0.31609,                0.61699,                0.52792,                0.50362,                0.20914,                  1.489,                 2.3226,                 1.1097,                0.94023,             6.3004e-05,             6.3004e-05,             6.3004e-05
                     39,                 1.6242,                 2.1055,                 1.3028,                0.97878,                0.67228,                0.58746,                0.60884,                0.30165,                 0.6195,                0.52374,                0.49739,                0.20377,                 1.5367,                 2.3552,                 1.1188,                0.95083,             6.2004e-05,             6.2004e-05,             6.2004e-05
                     40,                 1.6092,                 2.1201,                 1.3028,                0.98671,                0.66472,                0.58959,                0.61113,                0.30814,                0.60577,                0.53446,                0.50845,                0.20487,                 1.5169,                 2.3411,                 1.0996,                0.94599,             6.1004e-05,             6.1004e-05,             6.1004e-05
                     41,                 1.5966,                 2.1031,                 1.2743,                0.98234,                0.67195,                0.60227,                0.61371,                0.31119,                0.60351,                0.53292,                0.50292,                0.20473,                 1.5046,                 2.3399,                 1.1105,                0.94376,             6.0004e-05,             6.0004e-05,             6.0004e-05
                     42,                 1.5977,                 2.0457,                 1.2684,                0.98487,                0.66364,                0.61103,                0.61561,                0.31706,                0.59306,                 0.5334,                0.49981,                0.20588,                 1.4939,                 2.3233,                 1.0939,                0.94017,             5.9004e-05,             5.9004e-05,             5.9004e-05
                     43,                 1.5999,                 2.0955,                 1.2714,                0.98572,                0.66769,                 0.6049,                 0.6126,                0.31605,                0.59341,                0.52076,                0.48766,                0.19831,                  1.487,                  2.325,                  1.086,                0.93682,             5.8004e-05,             5.8004e-05,             5.8004e-05
                     44,                 1.5938,                 2.0818,                  1.281,                 0.9843,                0.64396,                0.62328,                 0.6152,                0.31527,                0.61459,                0.51761,                0.49447,                0.20358,                 1.4936,                 2.3295,                 1.0895,                0.93962,             5.7004e-05,             5.7004e-05,             5.7004e-05
                     45,                 1.5885,                 2.0883,                 1.2642,                0.98046,                0.65305,                0.60949,                0.61438,                0.31398,                0.60551,                0.52067,                0.49545,                 0.2003,                 1.4889,                 2.3133,                 1.0863,                0.93734,             5.6004e-05,             5.6004e-05,             5.6004e-05
                     46,                 1.5918,                 2.1129,                 1.2643,                0.97074,                0.68102,                0.60487,                0.62485,                0.31963,                0.62029,                0.55038,                0.51457,                0.20177,                 1.4812,                 2.3277,                 1.0806,                0.93653,             5.5005e-05,             5.5005e-05,             5.5005e-05
                     47,                 1.5863,                 2.0897,                 1.2356,                0.98205,                0.66042,                0.60796,                0.61609,                0.31352,                0.62071,                0.53881,                0.50256,                0.20533,                 1.4745,                 2.3183,                 1.0799,                0.93654,             5.4005e-05,             5.4005e-05,             5.4005e-05
                     48,                  1.604,                 2.0707,                 1.2343,                0.98051,                0.68328,                 0.6049,                0.61657,                0.30852,                0.60806,                0.52743,                0.48062,                 0.1924,                 1.4935,                 2.3207,                 1.0698,                0.93495,             5.3005e-05,             5.3005e-05,             5.3005e-05
                     49,                 1.5858,                 2.0915,                 1.2176,                0.97286,                  0.673,                0.61562,                0.62647,                0.31937,                0.61669,                0.51247,                0.50418,                0.20549,                 1.4806,                 2.3114,                 1.0701,                0.93612,             5.2005e-05,             5.2005e-05,             5.2005e-05
                     50,                 1.5668,                 2.0422,                 1.2093,                0.96529,                0.67336,                0.59666,                0.61815,                0.30997,                0.61515,                0.52986,                0.50023,                0.19938,                 1.4913,                 2.3102,                 1.0697,                0.93624,             5.1005e-05,             5.1005e-05,             5.1005e-05
                     51,                 1.5896,                 2.1189,                 1.2217,                 0.9773,                0.68889,                0.59112,                 0.6261,                0.31605,                0.62314,                0.52527,                0.51022,                0.20606,                 1.4783,                 2.2808,                 1.0701,                0.93448,             5.0005e-05,             5.0005e-05,             5.0005e-05
                     52,                 1.5717,                 2.0309,                 1.2109,                0.97265,                0.67553,                0.58959,                0.62666,                0.32661,                0.61644,                0.52833,                0.50803,                0.20566,                 1.4641,                 2.2963,                 1.0593,                0.93177,             4.9005e-05,             4.9005e-05,             4.9005e-05
                     53,                 1.5792,                 2.0964,                 1.2042,                0.97572,                 0.6767,                0.60643,                 0.6294,                0.32585,                0.61026,                0.54518,                0.50392,                0.20738,                 1.4543,                 2.2804,                  1.049,                0.92963,             4.8005e-05,             4.8005e-05,             4.8005e-05
                     54,                 1.5842,                 2.0607,                 1.1989,                0.97468,                0.67575,                0.61103,                0.63879,                0.33026,                0.61612,                0.53752,                0.50453,                0.20672,                 1.4583,                 2.2931,                 1.0427,                0.93126,             4.7005e-05,             4.7005e-05,             4.7005e-05
                     55,                 1.5615,                 2.0251,                 1.1974,                0.96607,                0.69083,                0.59877,                0.63804,                0.33378,                0.63696,                0.52374,                0.51214,                0.21198,                 1.4474,                 2.2619,                 1.0466,                0.92975,             4.6005e-05,             4.6005e-05,             4.6005e-05
                     56,                 1.5643,                 2.1062,                 1.1844,                0.96931,                 0.6768,                 0.6049,                 0.6378,                0.33048,                0.60567,                0.53752,                0.51008,                0.20838,                 1.4574,                 2.2829,                 1.0313,                0.92854,             4.5005e-05,             4.5005e-05,             4.5005e-05
                     57,                  1.576,                 2.0862,                 1.2086,                0.96606,                0.69567,                0.59877,                0.64213,                0.33215,                0.62087,                0.54058,                0.51917,                0.20902,                 1.4652,                 2.2791,                 1.0371,                0.93176,             4.4006e-05,             4.4006e-05,             4.4006e-05
                     58,                 1.5627,                 2.0698,                 1.1734,                0.96507,                 0.6886,                0.60277,                0.63644,                0.33004,                0.63646,                0.52374,                0.50569,                0.20767,                 1.4639,                 2.2689,                 1.0367,                0.93166,             4.3006e-05,             4.3006e-05,             4.3006e-05
                     59,                 1.5631,                 2.0593,                 1.1888,                0.96778,                0.66206,                0.60031,                0.63086,                0.32906,                0.60311,                0.53139,                0.49928,                0.20653,                 1.4656,                 2.2797,                 1.0283,                0.93093,             4.2006e-05,             4.2006e-05,             4.2006e-05
                     60,                 1.5692,                 2.0209,                 1.1841,                0.96623,                0.65014,                0.62634,                0.63537,                0.33549,                0.60223,                0.54211,                0.50636,                0.20832,                 1.4498,                 2.2975,                 1.0246,                0.92936,             4.1006e-05,             4.1006e-05,             4.1006e-05
                     61,                 1.5522,                 2.0243,                 1.1676,                0.96317,                0.66839,                0.60949,                0.63389,                0.33083,                0.61876,                0.53292,                0.51235,                0.20596,                 1.4675,                 2.2929,                  1.021,                0.93114,             4.0006e-05,             4.0006e-05,             4.0006e-05
                     62,                 1.5621,                 2.0861,                 1.1718,                 0.9619,                0.70144,                0.59877,                0.64423,                0.33608,                 0.6337,                0.53251,                0.51837,                0.20935,                 1.4483,                 2.2605,                  1.022,                0.92939,             3.9006e-05,             3.9006e-05,             3.9006e-05
                     63,                 1.5502,                 2.0816,                 1.1683,                0.96307,                0.67169,                0.60643,                0.63466,                0.33233,                0.61925,                0.52221,                0.49754,                0.20345,                 1.4547,                 2.2911,                 1.0304,                0.92982,             3.8006e-05,             3.8006e-05,             3.8006e-05
                     64,                  1.549,                 2.0487,                 1.1525,                0.95787,                0.66891,                0.61562,                0.63876,                0.33239,                0.61422,                0.51934,                0.50213,                0.20298,                 1.4634,                 2.2974,                 1.0258,                0.92827,             3.7006e-05,             3.7006e-05,             3.7006e-05
