                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                 1.2603,                 1.8469,                 1.0554,                0.66721,                0.50759,                0.44717,                0.41261,                0.21348,                0.47868,                0.39663,                0.35262,                0.14055,                 1.7671,                 2.3375,                 1.9445,                0.96333,             6.9003e-05,             6.9003e-05,             6.9003e-05
                     33,                 1.2709,                 1.8147,                 1.0477,                0.66657,                0.48904,                0.43032,                0.39007,                0.19913,                0.52912,                0.33997,                0.33113,                0.12977,                 1.7726,                 2.3353,                 1.9668,                0.96428,             6.8003e-05,             6.8003e-05,             6.8003e-05
                     34,                 1.2727,                 1.8526,                 1.0307,                0.66463,                0.52053,                0.46708,                0.44265,                0.22512,                0.52513,                 0.3951,                0.37805,                0.15026,                 1.7756,                 2.3421,                 1.8617,                0.96432,             6.7003e-05,             6.7003e-05,             6.7003e-05
                     35,                 1.2915,                 1.8629,                 1.0496,                0.68329,                0.53549,                0.43185,                 0.4084,                  0.211,                0.47343,                0.38965,                 0.3435,                 0.1343,                 1.7806,                 2.3168,                 1.9153,                0.96276,             6.6003e-05,             6.6003e-05,             6.6003e-05
                     36,                 1.2575,                 1.8501,                 1.0206,                0.66534,                0.51541,                0.45329,                0.40966,                0.20315,                0.46482,                0.38285,                0.32579,                0.12822,                 1.7999,                 2.3312,                 1.9565,                0.96283,             6.5004e-05,             6.5004e-05,             6.5004e-05
                     37,                 1.2599,                  1.834,                 1.0138,                0.66337,                0.51694,                0.47525,                0.43526,                0.21699,                 0.4764,                0.40888,                0.35859,                0.13787,                 1.7936,                 2.3077,                 1.9222,                0.96572,             6.4004e-05,             6.4004e-05,             6.4004e-05
                     38,                 1.2673,                 1.8746,                 1.0234,                0.66492,                0.48128,                0.49005,                0.42418,                0.21548,                0.44834,                 0.4045,                0.34615,                0.13522,                 1.7792,                 2.3189,                 1.8987,                0.96124,             6.3004e-05,             6.3004e-05,             6.3004e-05
                     39,                 1.2769,                 1.8274,                 1.0162,                0.66934,                 0.5221,                0.46861,                0.43597,                0.22164,                0.46962,                0.42573,                0.36393,                0.14357,                 1.7693,                 2.3001,                 1.8814,                0.95987,             6.2004e-05,             6.2004e-05,             6.2004e-05
                     40,                  1.266,                  1.845,                 1.0013,                0.66185,                0.47762,                0.46401,                 0.4232,                0.21611,                0.42373,                0.41348,                0.34416,                0.13702,                 1.7692,                 2.3289,                 1.9487,                0.96124,             6.1004e-05,             6.1004e-05,             6.1004e-05
                     41,                 1.2617,                 1.7899,                 0.9959,                0.66647,                0.52388,                0.41787,                0.41634,                0.21447,                 0.4638,                0.36907,                0.34098,                0.13526,                 1.7946,                 2.3199,                 1.9667,                0.96358,             6.0004e-05,             6.0004e-05,             6.0004e-05
                     42,                 1.2712,                 1.8418,                0.99664,                0.66675,                0.46667,                0.49311,                0.43617,                0.22746,                0.42475,                0.42266,                  0.357,                0.14335,                 1.7545,                 2.2933,                 1.8837,                0.96207,             5.9004e-05,             5.9004e-05,             5.9004e-05
