                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                 1.6044,                 1.8708,                  1.341,                 1.0288,                0.65262,                0.59571,                0.59904,                0.31289,                0.59481,                0.53953,                0.49953,                0.19476,                 1.4687,                 2.3218,                  1.106,                0.95187,             6.9003e-05,             6.9003e-05,             6.9003e-05
                     33,                 1.6121,                 1.8584,                 1.3514,                 1.0282,                0.64406,                0.62347,                0.61237,                0.32159,                0.58695,                0.55436,                0.50071,                0.19382,                  1.467,                 2.3178,                  1.098,                0.95831,             6.8003e-05,             6.8003e-05,             6.8003e-05
                     34,                 1.5975,                 1.8873,                 1.3196,                 1.0185,                0.65762,                0.60887,                0.60913,                0.32204,                 0.6245,                0.51448,                0.49757,                0.19804,                 1.4551,                 2.2978,                 1.1028,                0.94949,             6.7003e-05,             6.7003e-05,             6.7003e-05
                     35,                 1.5591,                 1.8795,                 1.3091,                 1.0205,                0.64894,                0.60862,                0.61412,                0.31854,                0.61499,                0.54058,                0.50082,                0.19287,                 1.4536,                 2.3157,                 1.0812,                0.94813,             6.6003e-05,             6.6003e-05,             6.6003e-05
                     36,                  1.577,                 1.8209,                  1.295,                 1.0152,                  0.669,                0.60184,                0.61807,                0.31793,                0.61488,                0.54058,                0.50344,                 0.1983,                 1.4641,                 2.2644,                 1.0852,                0.95142,             6.5004e-05,             6.5004e-05,             6.5004e-05
                     37,                 1.5727,                 1.8411,                 1.2872,                 1.0189,                 0.6773,                0.58959,                0.62162,                0.32882,                0.60869,                0.52986,                0.49217,                 0.1892,                 1.4508,                 2.2571,                 1.0508,                0.94757,             6.4004e-05,             6.4004e-05,             6.4004e-05
                     38,                 1.5636,                 1.8563,                 1.2692,                 1.0069,                0.66409,                0.62328,                0.61948,                0.32464,                0.60523,                0.55436,                0.50907,                0.19671,                 1.4401,                  2.276,                  1.066,                0.94342,             6.3004e-05,             6.3004e-05,             6.3004e-05
                     39,                 1.5868,                 1.8269,                 1.3113,                 1.0094,                0.65759,                0.59265,                0.61473,                0.32036,                0.59161,                0.52374,                0.49028,                 0.1908,                 1.4761,                 2.2701,                 1.0724,                 0.9514,             6.2004e-05,             6.2004e-05,             6.2004e-05
                     40,                 1.5754,                 1.9253,                 1.2805,                 1.0145,                0.65618,                 0.6196,                0.61625,                0.32005,                0.61188,                0.53837,                0.48892,                0.19091,                 1.4397,                 2.2783,                 1.0502,                0.94641,             6.1004e-05,             6.1004e-05,             6.1004e-05
                     41,                 1.5655,                 1.8785,                 1.2762,                 1.0085,                 0.6444,                0.62328,                0.63014,                0.33226,                0.57994,                0.55436,                0.50402,                0.19387,                 1.4203,                 2.2652,                 1.0448,                0.94094,             6.0004e-05,             6.0004e-05,             6.0004e-05
                     42,                 1.5728,                 1.8143,                 1.2508,                 1.0172,                0.66683,                0.61409,                0.63308,                0.33659,                0.61023,                0.54824,                0.51594,                0.19951,                 1.4314,                 2.2709,                 1.0397,                0.94548,             5.9004e-05,             5.9004e-05,             5.9004e-05
                     43,                 1.5715,                 1.8775,                 1.2483,                 1.0077,                0.66673,                0.63417,                0.63981,                0.34008,                0.59424,                0.56068,                0.50161,                0.19416,                 1.4159,                 2.2648,                  1.026,                0.93932,             5.8004e-05,             5.8004e-05,             5.8004e-05
                     44,                 1.5531,                 1.8453,                 1.2349,                 1.0131,                0.67629,                0.60643,                0.62377,                0.33169,                0.63173,                 0.5359,                0.50283,                  0.197,                  1.428,                 2.2748,                 1.0394,                0.93785,             5.7004e-05,             5.7004e-05,             5.7004e-05
                     45,                  1.551,                 1.7958,                 1.2437,                 1.0045,                0.67496,                0.59571,                0.62508,                 0.3322,                0.58906,                0.55743,                 0.5157,                0.20383,                 1.4328,                 2.2598,                 1.0409,                0.94033,             5.6004e-05,             5.6004e-05,             5.6004e-05
                     46,                 1.5508,                  1.886,                 1.2346,                0.99749,                0.68657,                0.60045,                0.64075,                0.33792,                0.62573,                0.54534,                0.52009,                0.20041,                 1.4329,                 2.2366,                 1.0386,                0.94107,             5.5005e-05,             5.5005e-05,             5.5005e-05
                     47,                 1.5283,                 1.7931,                 1.2146,                 1.0051,                0.69177,                0.58772,                 0.6323,                0.33333,                0.62622,                0.52597,                0.51259,                0.20045,                 1.4207,                 2.2496,                 1.0289,                 0.9423,             5.4005e-05,             5.4005e-05,             5.4005e-05
                     48,                 1.5399,                 1.8206,                 1.2395,                0.99491,                0.70579,                0.59265,                0.63998,                0.33682,                0.63648,                0.53446,                0.52093,                0.20003,                  1.434,                 2.2321,                 1.0138,                0.94497,             5.3005e-05,             5.3005e-05,             5.3005e-05
                     49,                 1.5536,                 1.8279,                 1.1992,                0.99723,                0.66176,                 0.6294,                 0.6367,                 0.3321,                0.60817,                 0.5559,                0.51277,                0.19978,                 1.4343,                 2.2447,                 1.0174,                0.94365,             5.2005e-05,             5.2005e-05,             5.2005e-05
                     50,                  1.523,                 1.7813,                 1.2075,                 0.9903,                0.68484,                 0.6049,                0.64061,                0.33765,                0.62184,                 0.5513,                0.51606,                0.20035,                 1.4268,                  2.262,                 1.0082,                0.94015,             5.1005e-05,             5.1005e-05,             5.1005e-05
